0.00 0.00 -0.42441 1.000 0.250 1.000
0.20 0.00 -0.37589 0.997 0.235 1.000
0.40 0.00 -0.33030 0.986 0.221 1.000
0.60 0.00 -0.28767 0.969 0.206 1.000
0.80 0.00 -0.24798 0.944 0.191 1.000
1.00 0.00 -0.21123 0.913 0.176 1.000
1.20 0.00 -0.17743 0.875 0.162 1.000
1.40 0.00 -0.14657 0.830 0.147 1.000
1.60 0.00 -0.11866 0.778 0.132 1.000
1.80 0.00 -0.09370 0.719 0.117 1.000
2.00 0.00 -0.07168 0.653 0.103 1.000
2.20 0.00 -0.05260 0.580 0.088 1.000
2.40 0.00 -0.03647 0.500 0.073 1.000
2.60 0.00 -0.02329 0.414 0.059 1.000
2.80 0.00 -0.01305 0.320 0.044 1.000
3.00 0.00 -0.00575 0.219 0.029 1.000
3.20 0.00 -0.00140 0.112 0.014 1.000
3.40 0.00 -0.00056 0.000 0.000 1.000
3.60 0.00 -0.00031 0.005 0.001 1.000
3.80 0.00 -0.00056 0.000 0.000 1.000
4.00 0.00 -0.00056 0.000 0.000 1.000
4.20 0.00 -0.00056 0.000 0.000 1.000
4.40 0.00 -0.00056 0.000 0.000 1.000
4.60 0.00 -0.00056 0.000 0.000 1.000
4.80 0.00 -0.00056 0.000 0.000 1.000
5.00 0.00 -0.00056 0.000 0.000 1.000
