-1.938964244371803314e-01 -1.473550395100489407e-01
-1.880586628332980292e-01 -1.410303150787328152e-01
-1.838380660667973121e-01 -1.350562446331964317e-01
-1.787252183432042063e-01 -1.286229941467645355e-01
-1.739145986034414948e-01 -1.226675460479334512e-01
-1.679258789388712314e-01 -1.168806991083881641e-01
-1.624520441868361476e-01 -1.109840573533077135e-01
-1.559482233850956745e-01 -1.052924100664226204e-01
-1.509966657253111189e-01 -9.978494562659642741e-02
-1.448696298644208125e-01 -9.462304869591547929e-02
-1.406520602428126820e-01 -8.885331053062925366e-02
-1.334743213093581571e-01 -8.249800902518164558e-02
-1.243416900435768968e-01 -7.567654612592999985e-02
-1.160073168859730025e-01 -6.894652192209030361e-02
-1.075070940275660303e-01 -6.297519482661281809e-02
-9.784403473791711270e-02 -5.729718259150959336e-02
-9.317756311687921955e-02 -5.201601136071909437e-02
-8.128785693346518570e-02 -4.636430481816466997e-02
-7.043483300642763845e-02 -4.095959775770036115e-02
-5.816518266824659278e-02 -3.592325209143198972e-02
-4.335976099230184899e-02 -3.087547078334279549e-02
-1.840614565829609695e-02 -2.543713618504817031e-02
-1.119789546313865181e-03 -2.407941010165860762e-02
